Product Name,Product URL,Product Price(₹),Product Rating,Product Number of Reviews
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1MzIxNjI4MDk3Mzc3OjE2Nzk0ODE5MzU6c3BfbXRmOjIwMTI5MzYwNDEyODk4OjowOjo&url=%2FCasual-Waterproof-Backpack-College-Business%2Fdp%2FB09WJ16LPN%2Fref%3Dsr_1_86_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481935%26sprefix%3Dba%252Caps%252C283%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,599,3.7,(4)
"SINOPACK BAG AND BACKPACK FOR LAPTOP, SCHOOL, 32 LITER (33cms x 22cms x 51cms)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM1MzIxNjI4MDk3Mzc3OjE2Nzk0ODE5MzU6c3BfbXRmOjIwMDg0MTM4NDM5NTk4OjowOjo&url=%2FSINOPACK-BACKPACK-LAPTOP-SCHOOL-LITER%2Fdp%2FB0BGPFCN7L%2Fref%3Dsr_1_87_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679481935%26sprefix%3Dba%252Caps%252C283%26sr%3D8-87-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,499,5.0,(1)
motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue),https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_88?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-88,"1,536",4.5,"(2,333)"
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlueZip/dp/B07MXM5M99/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-89,489,3.9,"(9,942)"
Nivia Polyester String Bag,https://www.amazon.in/Nivia-String-5177NB-Polyester-Navy/dp/B071H3HLVV/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-90,149,4.1,(994)
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_91?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-91,296,3.8,"(2,292)"
Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_92?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-92,269,3.6,"(7,541)"
Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,https://www.amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-93,899,4.2,(286)
Amazon Brand - Solimo Sling Bag (Maroon),https://www.amazon.in/Amazon-Brand-Solimo-Sling-Maroon/dp/B07S63LC4P/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-94,219,3.9,(239)
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1679481935&sprefix=ba%2Caps%2C283&sr=8-95,991,4.2,(714)
